name,image,hangul,romanization,katakana,origin,genres,debut,disbanded,years_active,label,associated,members_current,members_former,website,sns,fandom,colors,related,other_names,group_name,link,type,gender,youtube_data,youtube_subscribers,youtube_videos,sns_parsed,youtube_link
ESQ,https://static.wikia.nocookie.net/kpop/images/a/aa/ESQ_ESQlicious_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20250206094153,이에스큐,,,South Korea,,,c. 2013,2011-2013,Avance Entertainment,,[],"['Kyle', 'K9', 'Kyungmin', 'Keunhwan', 'Jihoo', 'Kay.J', 'JaXon', 'Jazzy-Gun', 'Hyu_black', 'MarKo']",[],['https://twitter.com/ESQOFFICIAL'],,,,ESQ - EVO1,ESQ,https://kpop.fandom.com/wiki/ESQ,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://twitter.com/ESQOFFICIAL'],
EVNNE,https://static.wikia.nocookie.net/kpop/images/0/05/EVNNE_Hot_Mess_group_concept_photo_4.webp/revision/latest/scale-to-width-down/350?cb=20250121144922,이븐,,イブン,"Seoul, South Korea","Dance, pop, hip-hop, R&B","September 19, 2023",,2023–present,Jellyfish Entertainment,Boys Planet,"['Keita', 'Hanbin', 'Jeonghyeon', 'Seungeon', 'Yunseo', 'Junghyun', 'Jihoo']",[],['https://evnne.jp/'],"['https://www.instagram.com/evnne_official/', 'https://www.facebook.com/officialevnne', 'https://www.tiktok.com/@evnne_official', 'https://twitter.com/EVNNE_official', 'https://www.youtube.com/@EVNNE', 'https://twitter.com/EVNNE_jp', 'https://www.weibo.com/7863259597', 'https://space.bilibili.com/3546599770819459']",ENNVE (엔브) [1],,EVNNE Wiki,BLIT (블릿; Boldly Leaping Into Tomorrow),EVNNE,https://kpop.fandom.com/wiki/EVNNE,group,male,"{'subscribers': 641000, 'top_videos': []}",641000.0,[],"['https://www.instagram.com/evnne_official/', 'https://www.facebook.com/officialevnne', 'https://www.tiktok.com/@evnne_official', 'https://twitter.com/EVNNE_official', 'https://www.youtube.com/@EVNNE', 'https://twitter.com/EVNNE_jp', 'https://www.weibo.com/7863259597', 'https://space.bilibili.com/3546599770819459']",https://www.youtube.com/@EVNNE
EXCITE,https://static.wikia.nocookie.net/kpop/images/f/ff/EXCITE_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20250204162222,익사이트,,,South Korea,"Dance, R&B","October 22, 2012",c. 2016,2012–2016,150 Entertainment (2014–2016) Penta ENC (2012-2013) ARES Entertainment (Japan; 2015),,[],"['Seunguk', 'Sihyuk', 'Minhoo', 'BEAT', 'Tae.G']","['https://150ent.com/artist_excite.php', 'http://excite-jp.com/']","['http://cafe.daum.net/pentaenc-excite', 'https://www.facebook.com/EXCITEstory', 'https://www.instagram.com/excite_official/', 'https://twitter.com/Excite_Official', 'https://www.youtube.com/@excite_tv', 'https://twitter.com/Excite_JPN', 'https://www.youtube.com/@excite_jp4249']",TO YOU EXCITERS (익사이터즈) (Former),,,,EXCITE,https://kpop.fandom.com/wiki/EXCITE,group,male,"{'subscribers': 124, 'top_videos': []}",124.0,[],"['http://cafe.daum.net/pentaenc-excite', 'https://www.facebook.com/EXCITEstory', 'https://www.instagram.com/excite_official/', 'https://twitter.com/Excite_Official', 'https://www.youtube.com/@excite_tv', 'https://twitter.com/Excite_JPN', 'https://www.youtube.com/@excite_jp4249']",https://www.youtube.com/@excite_tv
EXO,https://static.wikia.nocookie.net/kpop/images/1/1f/EXO_Cream_Soda_group_concept_photo_1.png/revision/latest/scale-to-width-down/333?cb=20230703150445,엑소,,エクソ,"Seoul, South Korea","Pop, R&B, hip-hop, EDM","April 8, 2012 (South Korea) November 4, 2015 (Japan)",,2012–present,SM Entertainment Avex Trax (Japan),EXO-K EXO-M EXO-CBX EXO-SC,"['Xiumin', 'Suho', 'Baekhyun', 'Chen', 'Chanyeol', 'D.O.', 'Kai']","['Luhan', 'Kris', 'Tao']","['http://exo.smtown.com/', 'http://exo-jp.net']","['https://exo-l.smtown.com', 'https://www.facebook.com/weareoneEXO', 'https://www.instagram.com/weareone.exo/', 'https://www.tiktok.com/@weareone.exo_official', 'https://twitter.com/weareoneEXO', 'https://www.weverse.io/exo/artistpedia', 'https://www.youtube.com/channel/UCzCedBCSSltI1TFd3bKyN6g', 'https://twitter.com/EXO_NEWS_JP', 'https://www.weibo.com/weareoneexo']",EXO-L (엑소엘),Cosmic Latte,EXO Wiki • SMTown Wiki,,EXO,https://kpop.fandom.com/wiki/EXO,group,male,"{'subscribers': 9650000, 'top_videos': []}",9650000.0,[],"['https://exo-l.smtown.com', 'https://www.facebook.com/weareoneEXO', 'https://www.instagram.com/weareone.exo/', 'https://www.tiktok.com/@weareone.exo_official', 'https://twitter.com/weareoneEXO', 'https://www.weverse.io/exo/artistpedia', 'https://www.youtube.com/channel/UCzCedBCSSltI1TFd3bKyN6g', 'https://twitter.com/EXO_NEWS_JP', 'https://www.weibo.com/weareoneexo']",https://www.youtube.com/channel/UCzCedBCSSltI1TFd3bKyN6g
EXP EDITION,https://static.wikia.nocookie.net/kpop/images/2/24/EXP_EDITION_First_Edition_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20180111042715,,,,"New York City, United States",K-pop,2015,2020,2015–2020,IMMABB Entertainment,,"['Šime', 'Koki', 'Frankie', 'Hunter']",[],['http://www.exptheband.com/'],[],,,,EXP,EXP EDITION,https://kpop.fandom.com/wiki/EXP_EDITION,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
F-iV,,파이브,,,Seoul,"K-pop, R&B, Ballad","September 25, 2002",,2002-present,H&J Entertainment,,"['Seo Ji Won', 'Kim Hyun Soo', 'Chang Hae Young', 'Woo Jung Tae']",[],[],[],,,,,F-iV,https://kpop.fandom.com/wiki/F-iV,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
F.able,https://static.wikia.nocookie.net/kpop/images/a/ae/F.able_Yeohaeng_Cloud9_group_concept_photo.png/revision/latest/scale-to-width-down/333?cb=20220704060559,페이블,,,South Korea,"Dance, pop","June 4, 2020",c. July 2023,2019–2023,Haeirum Entertainment,,[],"['Doha', 'Youngwon', 'Jeong', 'Sihoon', 'Hojun', 'Junhyoung', 'Jaehyun']",[],"['http://cafe.daum.net/F.able', 'https://www.instagram.com/f_able_official/', 'https://www.tiktok.com/@f.able_official', 'https://twitter.com/official_F_able', 'https://www.youtube.com/channel/UCqVFr_TPnBNUZGfrG9frzjQ']",Fairies [1],,,ENERFIVE (에너파이브) (2019–2020; pre-debut),F.able,https://kpop.fandom.com/wiki/F.able,group,male,"{'subscribers': 5090, 'top_videos': []}",5090.0,[],"['http://cafe.daum.net/F.able', 'https://www.instagram.com/f_able_official/', 'https://www.tiktok.com/@f.able_official', 'https://twitter.com/official_F_able', 'https://www.youtube.com/channel/UCqVFr_TPnBNUZGfrG9frzjQ']",https://www.youtube.com/channel/UCqVFr_TPnBNUZGfrG9frzjQ
F.CUZ,https://static.wikia.nocookie.net/kpop/images/d/dc/F.CUZ_Shine_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20200804120822,,,,"Seoul, South Korea","K-pop, J-pop","January 8, 2010",,2010–present,On The Bill Company (2020–present) 4 Leaf Clover Music (2017–2018) Independent (2016–2017) Tunes Will Entertainment (2014–2016) CAN&J's Entertainment (2010–2014),,"['Sung Yoon', 'LeeU', 'Raehyun', 'Daegeon', 'Jinon', 'Yejun']",[],[],"['http://cafe.daum.net/F.CUZ', 'https://www.facebook.com/OfficialFcuz', 'https://www.instagram.com/f.cuz_official/', 'https://twitter.com/fcuz0108', 'https://www.youtube.com/@f.cuztube1922']",For U (South Korea) F:antasia (Japan) F1 (China),,,,F.CUZ,https://kpop.fandom.com/wiki/F.CUZ,group,male,"{'subscribers': 286, 'top_videos': []}",286.0,[],"['http://cafe.daum.net/F.CUZ', 'https://www.facebook.com/OfficialFcuz', 'https://www.instagram.com/f.cuz_official/', 'https://twitter.com/fcuz0108', 'https://www.youtube.com/@f.cuztube1922']",https://www.youtube.com/@f.cuztube1922
FALLANC,https://static.wikia.nocookie.net/kpop/images/1/1c/FALLANC_group_photo.png/revision/latest/scale-to-width-down/350?cb=20190114090704,,,,South Korea,"Pop, rock","November 5, 2018",c. 2019,2018–2019,RF Entertainment,,[],"['Ruha', 'Kyoungkeun', 'Minho', 'Jihoon']",[],"['https://www.instagram.com/band_fallanc/', 'https://www.youtube.com/channel/UClw_kfezshgKFVKBDyQ6Trw']",,,,,FALLANC,https://kpop.fandom.com/wiki/FALLANC,group,male,"{'subscribers': 1520, 'top_videos': []}",1520.0,[],"['https://www.instagram.com/band_fallanc/', 'https://www.youtube.com/channel/UClw_kfezshgKFVKBDyQ6Trw']",https://www.youtube.com/channel/UClw_kfezshgKFVKBDyQ6Trw
FameUs,https://static.wikia.nocookie.net/kpop/images/9/9c/FameUs_Famous_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20200815204043,페임어스,,,South Korea,"Ballad, dance","September 4, 2014",c. 2016,2013–2016,KN Media (2014–2016) RB Entertainment (2014–2016),F1RST,[],"['Kudo', 'Daeyoung', 'Doa', 'Junghoon', 'Hansaem', 'Hanyoung']",[],"['http://cafe.daum.net/F1RST8', 'https://www.facebook.com/aboutFameUS', 'https://www.youtube.com/user/FameUSofficial']",,,,,FameUs,https://kpop.fandom.com/wiki/FameUs,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/F1RST8', 'https://www.facebook.com/aboutFameUS', 'https://www.youtube.com/user/FameUSofficial']",https://www.youtube.com/user/FameUSofficial
FANTASY BOYS,https://static.wikia.nocookie.net/kpop/images/b/bb/FANTASY_BOYS_Shine_The_Way_group_concept_photo_1.webp/revision/latest/scale-to-width-down/350?cb=20250203135938,판타지보이즈,,ファンタジー・ボーイズ,"Seoul, South Korea",,"September 21, 2023 (South Korea) June 19, 2024 (Japan)",,2023–present,PocketDol Studio M25 KISS Entertainment (Japan),Fantasy Boys,"['Kang Min Seo', 'Lee Han Bin', 'Hikari', 'Ling Qi', 'Hikaru', 'Kim Woo Seok', 'Hong Sung Min', 'Oh Hyeon Tae', 'Kim Gyu Rae', 'Kaedan']","['K-Soul', 'Yu Jun Won']","['https://pocketdol.co.kr/artist/FANTASY%20BOYS', 'https://fantasyboys.jp/']","['http://cafe.daum.net/fantasyboys', 'https://www.instagram.com/official_fantasyboys/', 'https://twitter.com/fantasyboys_twt', 'https://twitter.com/fantasyboys_mem', 'https://www.youtube.com/@FantasyBoys__Official', 'https://twitter.com/fantasyboys_jp', 'https://www.instagram.com/fantasyboys_jp/']",Bandi (반디) [1],,,,FANTASY BOYS (group),https://kpop.fandom.com/wiki/FANTASY_BOYS_(group),group,male,"{'subscribers': 65400, 'top_videos': []}",65400.0,[],"['http://cafe.daum.net/fantasyboys', 'https://www.instagram.com/official_fantasyboys/', 'https://twitter.com/fantasyboys_twt', 'https://twitter.com/fantasyboys_mem', 'https://www.youtube.com/@FantasyBoys__Official', 'https://twitter.com/fantasyboys_jp', 'https://www.instagram.com/fantasyboys_jp/']",https://www.youtube.com/@FantasyBoys__Official
FANXY CHILD,https://static.wikia.nocookie.net/kpop/images/a/a1/FANXY_CHILD_Y_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20200518091646,,,,South Korea,"Rap, hip hop","August 9, 2019",,2017-present,KOZ Entertainment,,"['Zico', 'Crush', 'Penomeco', 'Stay Tuned', 'DEAN', 'Millic']",[],[],[],,,K-Hip Hop Wiki,,FANXY CHILD,https://kpop.fandom.com/wiki/FANXY_CHILD,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
FAVE1,https://static.wikia.nocookie.net/kpop/images/f/fe/FAVE1_Christmas_Kiss_group_concept_photo_3.png/revision/latest/scale-to-width-down/350?cb=20241124133133,,,,South Korea,,"July 20, 2022 (Japan)",,2022–present,KISS Entertainment (Japan),100%,"['Rock Hyeon', 'Jonghwan', 'Hyukjin']",['Chanyong'],['https://fave1.jp/'],"['https://www.tiktok.com/@fave1_official', 'https://twitter.com/FAVE1_official', 'https://www.youtube.com/@FAVE1_official', 'https://www.instagram.com/fave1_official_japan/']",1Chu,,,,FAVE1,https://kpop.fandom.com/wiki/FAVE1,group,male,"{'subscribers': 731, 'top_videos': []}",731.0,[],"['https://www.tiktok.com/@fave1_official', 'https://twitter.com/FAVE1_official', 'https://www.youtube.com/@FAVE1_official', 'https://www.instagram.com/fave1_official_japan/']",https://www.youtube.com/@FAVE1_official
FL1X,https://static.wikia.nocookie.net/kpop/images/5/5c/FL1X_Like_A_Movie_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20231101050235,플릭스,,,South Korea,Ballad,"July 27, 2021",,2021–present,SH Entertainment,5tion,"['Len', 'Noa', 'Marine']",[],['https://fl1x79.com'],"['https://www.instagram.com/fl1x.official/', 'https://twitter.com/official_fl1x']",,,,,FL1X,https://kpop.fandom.com/wiki/FL1X,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.instagram.com/fl1x.official/', 'https://twitter.com/official_fl1x']",
FLORET,https://static.wikia.nocookie.net/kpop/images/9/96/FLORET_group_logo.png/revision/latest/scale-to-width-down/350?cb=20220705161051,플로렛,,,"Seoul, South Korea",,,c. January 2021,2020–2021,Floret Entertainment,C On H,[],"['Sangjin', 'Sejin', 'Minsang']",[],"['https://www.facebook.com/floret.floris', 'https://www.instagram.com/floret_official/', 'https://www.tiktok.com/@ZMJ9WVgVh', 'https://twitter.com/floret_official']",,,,,FLORET,https://kpop.fandom.com/wiki/FLORET,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/floret.floris', 'https://www.instagram.com/floret_official/', 'https://www.tiktok.com/@ZMJ9WVgVh', 'https://twitter.com/floret_official']",
For The More,https://static.wikia.nocookie.net/kpop/images/6/6f/For_The_More_End_of_the_Film_concept_art.png/revision/latest/scale-to-width-down/350?cb=20231122024347,포더모어,,,South Korea,"Rock, pop rock, alternative","September 30, 2023",,2023–present,99Major,,"['Byulha', 'Ssun', 'Shuhyang', 'Nidi']",[],[],"['https://cafe.naver.com/forthemore', 'https://twitter.com/ForTheMore_', 'https://www.youtube.com/@ForTheMore']",,,,,For The More,https://kpop.fandom.com/wiki/For_The_More,group,male,"{'subscribers': 15200, 'top_videos': []}",15200.0,[],"['https://cafe.naver.com/forthemore', 'https://twitter.com/ForTheMore_', 'https://www.youtube.com/@ForTheMore']",https://www.youtube.com/@ForTheMore
Forestella,https://static.wikia.nocookie.net/kpop/images/c/c3/Forestella_Apocalypse_group_concept_photo_1.webp/revision/latest/scale-to-width-down/350?cb=20241020080009,포레스텔라,,,South Korea,"Classical, crossover, pop","March 14, 2018",,2018–present,Beat Interactive (2021–present) Arts & Artists (2018–2021) Universal Music Korea (former) Decca Records (former),Phantom Singer 2,"['Bae Doo Hoon', 'Kang Hyung Ho', 'Cho Min Gyu']",[],[],"['http://cafe.daum.net/official.forestella', 'https://www.facebook.com/official.forestella', 'https://www.instagram.com/official.forestella/', 'https://twitter.com/official_fore', 'https://www.youtube.com/channel/UCb_gdTMC2xeuO1p8lKkZHHQ']",SoopByeol (숲별),,,,Forestella,https://kpop.fandom.com/wiki/Forestella,group,male,"{'subscribers': 360000, 'top_videos': []}",360000.0,[],"['http://cafe.daum.net/official.forestella', 'https://www.facebook.com/official.forestella', 'https://www.instagram.com/official.forestella/', 'https://twitter.com/official_fore', 'https://www.youtube.com/channel/UCb_gdTMC2xeuO1p8lKkZHHQ']",https://www.youtube.com/channel/UCb_gdTMC2xeuO1p8lKkZHHQ
Forte di Quattro,https://static.wikia.nocookie.net/kpop/images/2/26/Forte_di_Quattro_Arts_%26_Artist_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20241202185656,포르테 디 콰트로,,,South Korea,"Classical, crossover","May 18, 2017",,2017–present,Universal Music Korea (2017-present) Arts & Artist (2017-present),Phantom Singer,"['Ko Hoon Jeong', 'Kim Hyun Soo', 'Son Tae Jin', 'Lee Byeo Ri']",[],['http://artsnartists.com/archives/youngartists/팬텀싱어-포르테-디-콰트로-phantom-singer-forte-di-quattro'],"['https://www.instagram.com/official.fortediquattro/', 'https://post.naver.com/my.nhn?memberNo=fortediquattro2017', 'https://www.youtube.com/@FortediQuattro']",PHONIC (포닉),,,,Forte di Quattro,https://kpop.fandom.com/wiki/Forte_di_Quattro,group,male,"{'subscribers': 9790, 'top_videos': []}",9790.0,[],"['https://www.instagram.com/official.fortediquattro/', 'https://post.naver.com/my.nhn?memberNo=fortediquattro2017', 'https://www.youtube.com/@FortediQuattro']",https://www.youtube.com/@FortediQuattro
Forténa,https://static.wikia.nocookie.net/kpop/images/6/69/Fortena_Miracle_teaser_photo_2.png/revision/latest/scale-to-width-down/350?cb=20230822192235,포르테나,,,South Korea,"Crossover, classical","June 2, 2023 (official) August 22, 2023 (music)",,2023–present,Studio JAMM,,"['Lee Dong Qyu', 'Austin Kim', 'Seo Yeong Taek', 'Kim Seong Hyeon']",[],['https://fortena.bstage.in/'],"['https://www.instagram.com/fortena.official/', 'https://cafe.naver.com/fourtenors', 'https://twitter.com/FortenaOfficial', 'https://www.youtube.com/@FortenaOfficial']",ForDAYS (포데이즈),Gold Yellow,,,Forténa,https://kpop.fandom.com/wiki/Fort%C3%A9na,group,male,"{'subscribers': 18200, 'top_videos': []}",18200.0,[],"['https://www.instagram.com/fortena.official/', 'https://cafe.naver.com/fourtenors', 'https://twitter.com/FortenaOfficial', 'https://www.youtube.com/@FortenaOfficial']",https://www.youtube.com/@FortenaOfficial
FREE PASS,https://static.wikia.nocookie.net/kpop/images/c/cb/FREE_PASS_Kill_This_Love_group_concept_photo_7.png/revision/latest/scale-to-width-down/350?cb=20241102142244,,,,South Korea,,"July 24, 2019",,2019–present,BADBOSS COMPANY (2021–present) GT Family (2019–2021),,"['Kay-G', 'Sanghee', 'Tae-U', 'Jean Paul']",[],[],"['https://www.instagram.com/freepassofficial/', 'https://twitter.com/FRPS_official', 'https://www.tiktok.com/@freepass_official', 'https://www.facebook.com/freepassofficial', 'https://www.youtube.com/channel/UC31dx8og9VVyBGQBVaTc2lQ']",,,,,FREE PASS (group),https://kpop.fandom.com/wiki/FREE_PASS_(group),group,male,"{'subscribers': 5610, 'top_videos': []}",5610.0,[],"['https://www.instagram.com/freepassofficial/', 'https://twitter.com/FRPS_official', 'https://www.tiktok.com/@freepass_official', 'https://www.facebook.com/freepassofficial', 'https://www.youtube.com/channel/UC31dx8og9VVyBGQBVaTc2lQ']",https://www.youtube.com/channel/UC31dx8og9VVyBGQBVaTc2lQ
FTISLAND,https://static.wikia.nocookie.net/kpop/images/d/d1/FTISLAND_Serious_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20240703105634,에프티 아일랜드,,エフティー・アイラン,"Seoul, South Korea",Pop rock,"June 7, 2007 (South Korea) June 8, 2008 (Japan)",,2007–2019; 2021-present,FNC Entertainment (South Korea) Warner Music Japan (Japan),,"['Lee Hong Gi', 'Lee Jae Jin']","['Oh Won Bin', 'Choi Jong Hoon', 'Song Seung Hyun']","['http://www.fncent.com/FTISLAND/', 'http://ftisland-official.jp/']","['http://cafe.daum.net/fti5', 'https://www.facebook.com/FTISLAND', 'https://www.instagram.com/ftisland/', 'https://twitter.com/ft_fanclub', 'https://www.weverse.io/ftisland/artistpedia', 'https://www.youtube.com/user/ftisland', 'https://www.facebook.com/FTISLANDOfficialJP', 'https://www.instagram.com/ftisland_official_jp/', 'https://twitter.com/ftisland_japan', 'https://www.youtube.com/user/FTISLANDofficialjp']",Primadonna (프리마돈나),Yellow,FTISLAND Wiki,,FTISLAND,https://kpop.fandom.com/wiki/FTISLAND,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/fti5', 'https://www.facebook.com/FTISLAND', 'https://www.instagram.com/ftisland/', 'https://twitter.com/ft_fanclub', 'https://www.weverse.io/ftisland/artistpedia', 'https://www.youtube.com/user/ftisland', 'https://www.facebook.com/FTISLANDOfficialJP', 'https://www.instagram.com/ftisland_official_jp/', 'https://twitter.com/ftisland_japan', 'https://www.youtube.com/user/FTISLANDofficialjp']",https://www.youtube.com/user/ftisland
GET.T,https://static.wikia.nocookie.net/kpop/images/4/4c/GET.T_debut_group_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20240621200618,겟티,,,South Korea,"Pop, dance","May 10, 2019",c. late 2019,2019,G-Creative,B:SKIT,[],"['Macho', 'Hojong', 'B.P', 'Kyo']",[],[],,,,,GET.T,https://kpop.fandom.com/wiki/GET.T,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
GHOST9,https://static.wikia.nocookie.net/kpop/images/c/c1/GHOST9_Down_For_You_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20241217151114,고스트나인,,,"Seoul, South Korea","Dance, pop","September 23, 2020",,2020–present,Maroo Entertainment,TEEN TEEN,"['Son Jun Hyung', 'Shin', 'Lee Kang Sung', 'Choi Jun Seong', 'Prince', 'Lee Woo Jin', 'Lee Jin Woo']","['Hwang Dong Jun', 'Lee Tae Seung']",[],"['http://cafe.daum.net/MAROOcreative', 'https://www.instagram.com/official.ghost9/', 'https://www.tiktok.com/@maroo_ghost9', 'https://twitter.com/GHOST9OFFICIAL', 'https://www.youtube.com/channel/UCwBsVtDcTVG4QCorkVNJ5Sg']",Ghostie (고스티) [1],,GHOST9 Wiki,,GHOST9,https://kpop.fandom.com/wiki/GHOST9,group,male,"{'subscribers': 250000, 'top_videos': []}",250000.0,[],"['http://cafe.daum.net/MAROOcreative', 'https://www.instagram.com/official.ghost9/', 'https://www.tiktok.com/@maroo_ghost9', 'https://twitter.com/GHOST9OFFICIAL', 'https://www.youtube.com/channel/UCwBsVtDcTVG4QCorkVNJ5Sg']",https://www.youtube.com/channel/UCwBsVtDcTVG4QCorkVNJ5Sg
GIDONGDAE,https://static.wikia.nocookie.net/kpop/images/3/35/GIDONGDAE_Party_Like_This_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20200603030254,,,,South Korea,Dance,,c. 2021,2019-2021,2Y Entertainment,,[],"['Lee Ki Won', 'Haolin', 'Kim Tae Dong', 'Kim Ye Hyeon', 'Won Jin']",[],"['http://cafe.daum.net/GIDONGDAEofficial', 'https://www.facebook.com/GIDONGDAEofficial', 'https://www.instagram.com/gidongdae/', 'https://www.tiktok.com/@gidongdae.official', 'https://twitter.com/gidongdae', 'https://www.youtube.com/channel/UCoyxucrlGU9mtSsQGy0ucSQ']",,,Produce 101 Wiki,,GIDONGDAE,https://kpop.fandom.com/wiki/GIDONGDAE,group,male,"{'subscribers': 7750, 'top_videos': []}",7750.0,[],"['http://cafe.daum.net/GIDONGDAEofficial', 'https://www.facebook.com/GIDONGDAEofficial', 'https://www.instagram.com/gidongdae/', 'https://www.tiktok.com/@gidongdae.official', 'https://twitter.com/gidongdae', 'https://www.youtube.com/channel/UCoyxucrlGU9mtSsQGy0ucSQ']",https://www.youtube.com/channel/UCoyxucrlGU9mtSsQGy0ucSQ
GLU,https://static.wikia.nocookie.net/kpop/images/3/38/GLU_profile_photo.png/revision/latest/scale-to-width-down/333?cb=20221009174225,,,,South Korea,,"October 9, 2022",,2022–present,XX Entertainment (2024–present) Luminant Entertainment (2022–2024),,"['Eunjae', 'Lee Kwangho', 'Jo Hyochan']",[],[],['https://www.instagram.com/glu_official_/'],,,,,GLU,https://kpop.fandom.com/wiki/GLU,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.instagram.com/glu_official_/'],
god,https://static.wikia.nocookie.net/kpop/images/c/c9/God_Elle_Korea_%28January_2023%29_%281%29.png/revision/latest/scale-to-width-down/350?cb=20231218013654,지오디,,,South Korea,"Ballad, dance, rap, hip hop, pop, R&B, soul","January 13, 1999",,1999–2005 2014–present,SidusHQ (2000–2005; 2014–present) JYP Entertainment (2004–2006) EMB Production (1999–2000),,"['Joon Park', 'Yoon Kye Sang', 'Danny Ahn', 'Son Ho Young', 'Kim Tae Woo']",[],[],"['http://cafe.daum.net/fangod.house', 'https://www.instagram.com/official_god0113/']",fangod (god의 팬),Sky Blue,,g.o.d Groove Over Dose,God,https://kpop.fandom.com/wiki/God,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/fangod.house', 'https://www.instagram.com/official_god0113/']",
Golden Child,https://static.wikia.nocookie.net/kpop/images/f/f2/Golden_Child_Feel_Me_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20231024155559,골든차일드,,,"Seoul, South Korea","Dance, ballad","August 28, 2017 (South Korea) January 26, 2022 (Japan)",,2017–present,Woollim Entertainment,W PROJECT,"['Dae Yeol', 'Y', 'Jang Jun', 'Seung Min', 'Jae Hyun', 'Dong Hyun', 'Joo Chan']","['Jae Seok', 'TAG', 'Ji Beom', 'Bo Min']","['http://www.goldenchild11.com/', 'https://goldenness.jp/']","['http://cafe.daum.net/GoldenChild', 'https://www.facebook.com/gncd11', 'https://www.instagram.com/official_gncd11/', 'https://www.tiktok.com/@31229137993', 'https://twitter.com/GoldenChild', 'https://twitter.com/Hi_Goldenness', 'https://www.weverse.io/goldenchild/artistpedia', 'https://www.youtube.com/channel/UC2EeIV6pzZDIAgp8hV_MGew', 'https://twitter.com/GNCDjp_official', 'https://www.weibo.com/6246751871']",Goldenness (골드니스),,Golden Child Wiki,GNCD Golcha,Golden Child,https://kpop.fandom.com/wiki/Golden_Child,group,male,"{'subscribers': 387000, 'top_videos': []}",387000.0,[],"['http://cafe.daum.net/GoldenChild', 'https://www.facebook.com/gncd11', 'https://www.instagram.com/official_gncd11/', 'https://www.tiktok.com/@31229137993', 'https://twitter.com/GoldenChild', 'https://twitter.com/Hi_Goldenness', 'https://www.weverse.io/goldenchild/artistpedia', 'https://www.youtube.com/channel/UC2EeIV6pzZDIAgp8hV_MGew', 'https://twitter.com/GNCDjp_official', 'https://www.weibo.com/6246751871']",https://www.youtube.com/channel/UC2EeIV6pzZDIAgp8hV_MGew
GOMAK BOYS,https://static.wikia.nocookie.net/kpop/images/a/a2/GOMAK_BOYS_promotional_group_photo.png/revision/latest/scale-to-width-down/350?cb=20220919192342,고막소년단,,,"Seoul, South Korea",Ballad,"November 22, 2022",c. 2023,2022–2023,Kakao Entertainment,,[],"['Paul Kim', 'Kim Min Seok', 'Jung Seung Hwan', 'Ha Hyun Sang', 'Big Naughty']",[],['https://www.instagram.com/gomakboys_official/'],Nokgetdan (녹겟단),,,,GOMAK BOYS,https://kpop.fandom.com/wiki/GOMAK_BOYS,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.instagram.com/gomakboys_official/'],
